economico,economico_label
2111,Remuneraciones
2112,Bienes y Servicios
2121,Prestaciones de la Seguridad Social
2131,Intereses y Comisiones de Titulos y Valores en el Mercado Na
2132,Intereses y Comisiones de Titulos y Valores en el Mercado Ex
2133,Intereses y Comisiones de Emprestitos Internos
2134,Intereses y Comisiones de Emprestitos Externos
2135,"Impuestos, Tasas y Derechos"
2136,"Seguros, Comisiones y Gastos Bancarios"
2137,Crédito Fiscal
2139,Otros Gastos no Clasificados
2142,Transferencias Corrientes al Sector Público
2143,Transferencias Corrientes al Sector Privado
2144,Transferencias Corrientes al Sector Externo
2211,Bienes Muebles
2212,Bienes Inmuebles
2213,Intangibles
2214,Infraestructura
2215,Crédito Fiscal
2221,Inversión en Capital Humano
2232,Transferencias de Capital al Sector Público
2233,Transferencias de Capital al Sector Privado
2234,Otras Transferencias de Capital
2241,Inversiones en Titulos Valores
2242,Préstamos
2311,Rescate de Colocaciones de Titulos y Valores en el Mercado N
2312,Rescate de Colocaciones de Titulos y Valores en el Mercado E
2313,Amortización de Emprestitos Internos
2314,Amortización de Emprestitos Externos
