institucion,institucion_label
100,Organo Legislativo
200,Corte de Cuentas de la República
300,Tribunal Supremo Electoral
301,Registro Nacional de las Personas Naturales
400,Tribunal de Servicio Civil
500,Presidencia de la República
501,Instituto Nacional de los Deportes de El Salvador
504,Instituto Salvadoreño para el Desarrollo de la Mujer
505,Fondo de Inversión Social para el Desarrollo Local
551,Organismo Promotor de Exportaciones e Inversiones de El Salvador
600,Tribunal de Etica Gubernamental
650,Instituto de Acceso a la Información Pública
700,Ramo de Hacienda
701,Lotería Nacional de Beneficencia
702,Instituto Nacional de Pensiones de los Empleados Públicos
800,Ramo de Relaciones Exteriores
900,Ramo de la Defensa Nacional
1500,Consejo Nacional de la Judicatura
1600,Organo Judicial
1700,Fiscalía General de la República
1800,Procuraduría General de la República
1900,Procuraduría para la Defensa de los Derechos Humanos
2300,Ramo de Gobernación y Desarrollo Territorial
2303, Instituto Salvadoreño de Desarrollo Municipal
2400,Ramo de Justicia y Seguridad Pública
2401, Academia Nacional de Seguridad Pública
2402, Unidad Técnica Ejecutiva
2403,Consejo Nacional de Administración de Bienes
3100,Ramo de Educación
3101,Universidad de El Salvador
3105,Caja Mutual de los Empleados del Ministerio de Educación
3106,Instituto Salvadoreño para el Desarrollo Integral de la Niñez y la Adolescencia
3107,Instituto Salvadoreño de Bienestar Magisterial
3108,Consejo Nacional de la Niñez y de la Adolescencia
3200,Ramo de Salud
3201,Hospital Nacional Rosales
3202,"Hospital Nacional  ""Benjamín Bloom"""
3203,"Hospital Nacional de la Mujer ""Doctora María Isabel Rodríguez"", San Salvador"
3204,"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"""
3205,"Hospital Nacional de Neumología y Medicina Familiar, ""Dr. José Antonio Saldaña"", San Salvador"
3206,"Hospital Nacional ""San Juan de Dios"", Santa Ana"
3207,"Hospital Nacional ""Francisco Menéndez"", Ahuachapán"
3208,"Hospital Nacional  ""Dr. Jorge Mazzini Villacorta"",  Sonsonate"
3209,"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango"
3210,"Hospital Nacional ""San Rafael"", Santa Tecla, La Libertad"
3211,"Hospital Nacional ""Santa Gertrudis"", San Vicente"
3212,"Hospital Nacional ""Santa Teresa"", Zacatecoluca"
3213,"Hospital Nacional ""San Juan de Dios"", San Miguel"
3214,"Hospital Nacional ""San Pedro"", Usulután"
3215,"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil"
3216,"Hospital Nacional ""Enfermera Angélica Vidal de Najarro"", San Bartolo, San Salvador"
3217,"Hospital Nacional ""Nuestra Señora de Fátima"", Cojutepeque, Cuscatlán"
3218,Hospital Nacional de La Unión
3219,Hospital Nacional de Ilobasco
3220,Hospital Nacional de Nueva Guadalupe
3221,"Hospital Nacional ""Monseñor Oscar Arnulfo Romero y Galdámez"", Ciudad Barrios, San Miguel"
3222,"Hospital Nacional ""San Jerónimo Emiliani"", Sensuntepeque, Cabañas"
3223,Hospital Nacional de Chalchuapa
3224,"Hospital Nacional ""Arturo Morales"", Metapán, Santa Ana"
3225,"Hospital Nacional ""Dr. Héctor Antonio Hernández Flores"", San Francisco Gotera, Morazán"
3226,Hospital Nacional de Santa Rosa de Lima
3227,Hospital Nacional de Nueva Concepción
3228,"Hospital Nacional ""Dr. Jorge Arturo Mena"", Santiago de María, Usulután"
3229,Hospital Nacional de Jiquilisco
3230,Hospital Nacional de Suchitoto
3231,Consejo Superior de Salud Pública
3232,Instituto Salvadoreño de Rehabilitación Integral
3233,"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana"
3234,Cruz Roja Salvadoreña
3235,Fondo Solidario para la Salud
3236,Dirección Nacional de Medicamentos
3300,Ramo de Trabajo y Previsión Social
3302,Instituto Salvadoreño de Formación Profesional
3303,Instituto Salvadoreño del Seguro Social
3500,Ramo de Cultura
4100,Ramo de Economía
4101,Centro Internacional de Ferias y Convenciones de El Salvador
4103,Consejo de Vigilancia de la Profesión de Contaduría Pública y Auditoría
4106,Comisión Ejecutiva Hidroelectrica del Río Lempa
4109,Superintendencia General de Electricidad y Telecomunicaciones
4114,Centro Nacional de Registros
4115,Fondo de Inversión Nacional en Electricidad y Telefonía
4117,Superintendencia de Competencia
4118,Defensoría del Consumidor
4119,Consejo Nacional de Energía
4120,Consejo Nacional de Calidad
4121,Instituto Salvadoreño de Fomento Cooperativo
4122,Comisión Nacional de la Micro y Pequeña Empresa
4200,Ramo de Agricultura y Ganadería
4201,Instituto Salvadoreño de Transformación Agraria
4202,Centro Nacional de Tecnología Agropecuaria y Forestal
4203,Escuela Nacional de Agricultura
4206,Consejo Salvadoreño del Café
4300,"Ramo de Obras Públicas, Transporte y de Vivienda y Desarrollo Urbano"
4301,Administración Nacional de Acueductos y Alcantarillados
4303,Comisión Ejecutiva Portuaria Autónoma
4304,Autoridad de Aviación Civil
4307,Autoridad Marítima Portuaria
4308,Fondo para la Atención a las Víctimas de Accidentes de Tránsito
4400,Ramo de Medio Ambiente y Recursos Naturales
4600,Ramo de Turismo
4601,Instituto Salvadoreño de Turismo
4602,Corporación Salvadoreña de Turismo
