nivel,area,area_label,propuesto,aprobado,diferencia
1,1,Conducción Administrativa,435567820.0,491367820,-2500000.0
2,1,Conducción Administrativa,21164430.0,21164430,0.0
1,2,Administración de Justicia y Seguridad Ciudadana,896790337.0,1022628021,1701928.0
2,2,Administración de Justicia y Seguridad Ciudadana,16910179.0,16910179,0.0
1,3,Desarrollo Social,2580587275.0,2595152297,5030805.0
2,3,Desarrollo Social,2238005074.0,2239095074,1060000.0
1,4,Apoyo al Desarrollo Económico,658840772.0,663245772,3725000.0
2,4,Apoyo al Desarrollo Económico,225260094.0,225560094,300000.0
1,5,Deuda Pública,0.0,1822838840,0.0
2,5,Deuda Pública,93876695.0,93876695,0.0
1,6,Obligaciones Generales del Estado,132577301.0,116077801,-16500000.0
2,7,Producción Empresarial Pública,688332115.0,688332115,0.0
